"producto","variedad","Precio Mayorista","Precio Minorista","Procedencia","observaciones","fecha","Mercado"
"Yuca","Rosada","0   Bs.-/Bolsa (4@)","30   Bs.-/Arroba (@)","Beni","","01/02/2013","Trinidad"
"Zanahoria","Chantenay","0   Bs.-/Bolsa (10@)","48   Bs.-/Arroba (@)","Santa Cruz","","01/02/2013","Trinidad"
"Zapallo","Quintalero","0   Bs.-/Kilo","5   Bs.-/Kilo","Santa Cruz","","01/02/2013","Trinidad"
"Acelga","Comun","0   Bs.-/Amarro","20   Bs.-/Amarro","Santa Cruz","amarro grande","31/01/2013","Trinidad"
"Achojcha","Comun","0   Bs.-/Bolsa (2@)","7   Bs.-/3 Libras","Santa Cruz","","31/01/2013","Trinidad"
"Arveja","Verde (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","31/01/2013","Trinidad"
"Azucar","Guabira","0   Bs.-/qq","7   Bs.-/Kilo","Santa Cruz","","31/01/2013","Trinidad"
"Azucar","San Aurelio","0   Bs.-/qq","7   Bs.-/Kilo","Santa Cruz","","31/01/2013","Trinidad"
"Brocoli","Bola verde","0   Bs.-/Canasta","6   Bs.-/Unidad","Santa Cruz","","31/01/2013","Trinidad"
"Cebolla","Blanca","0   Bs.-/Bolsa (8@)","65   Bs.-/Arroba (@)","Santa Cruz","","31/01/2013","Trinidad"
"Cebolla","Roja","0   Bs.-/Bolsa (8@)","40   Bs.-/Arroba (@)","Santa Cruz","","31/01/2013","Trinidad"
"Coliflor","Bola de nieve","0   Bs.-/Canasta","6   Bs.-/Unidad","Santa Cruz","","31/01/2013","Trinidad"
"Durazno","Criollo","0   Bs.-/Caja de 23 Kg","25   Bs.-/Kilo","Santa Cruz","","31/01/2013","Trinidad"
"Frejol","Carioca","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","31/01/2013","Trinidad"
"Frejol","Mantecoso","0   Bs.-/qq","14   Bs.-/Kilo","Santa Cruz","","31/01/2013","Trinidad"
"Frejol","Negro","0   Bs.-/qq","14   Bs.-/Kilo","Santa Cruz","","31/01/2013","Trinidad"
"Frutilla","Sweet Charlie","0   Bs.-/Kilo","40   Bs.-/Kilo","Santa Cruz","","31/01/2013","Trinidad"
"Haba","Comun (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","31/01/2013","Trinidad"
"Harina","de Trigo","0   Bs.-/qq","58   Bs.-/Arroba (@)","Santa Cruz","","31/01/2013","Trinidad"
"Huevo","Criollo","0   Bs.-/100 U.","150   Bs.-/100 U.","Santa Cruz","","31/01/2013","Trinidad"
"Huevo","de Granja","0   Bs.-/100 U.","50   Bs.-/100 U.","Santa Cruz","","31/01/2013","Trinidad"
"Lechuga","Crespa","0   Bs.-/Canasta","3   Bs.-/Unidad","Santa Cruz","","31/01/2013","Trinidad"
"Lechuga","Escarola","0   Bs.-/Canasta","5   Bs.-/Unidad","Santa Cruz","","31/01/2013","Trinidad"
"Lima","Criolla","0   Bs.-/100 U.","12   Bs.-/25 U.","Santa Cruz","","31/01/2013","Trinidad"
"Limon","Amarillo","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","31/01/2013","Trinidad"
"Limon","de Licuar","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","31/01/2013","Trinidad"
"Locoto","Cochabambino","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","31/01/2013","Trinidad"
"Maiz","Choclo","0   Bs.-/100 U.","24   Bs.-/Docena","Santa Cruz","","31/01/2013","Trinidad"
"Maiz","Duro","0   Bs.-/qq","3   Bs.-/Kilo","Santa Cruz","","31/01/2013","Trinidad"
"Mandarina","Japonesa","0   Bs.-/100 U.","25   Bs.-/25 U.","Santa Cruz","","31/01/2013","Trinidad"
"Mani","Pelado","0   Bs.-/Arroba (@)","23   Bs.-/Kilo","Santa Cruz","","31/01/2013","Trinidad"
"Manzana","Lanin royal","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","Santa Cruz","","31/01/2013","Trinidad"
"Naranja","Criolla","0   Bs.-/100 U.","15   Bs.-/25 U.","Santa Cruz","","31/01/2013","Trinidad"
"Papa","Desiree (Holandesa)","0   Bs.-/Bolsa (10@)","48   Bs.-/Arroba (@)","Santa Cruz","","31/01/2013","Trinidad"
"Papa","Waycha (Arinosa)","0   Bs.-/Bolsa (10@)","48   Bs.-/Arroba (@)","Santa Cruz","","31/01/2013","Trinidad"
"Papaliza","Amarilla","0   Bs.-/Arroba (@)","5   Bs.-/3 Libras","Santa Cruz","","31/01/2013","Trinidad"
"Pepino","Comun","0   Bs.-/Arroba (@)","3   Bs.-/3 Libras","Santa Cruz","","31/01/2013","Trinidad"
"Pimenton","4 Puntas","0   Bs.-/Bolsa Grande","18   Bs.-/Docena","Santa Cruz","","31/01/2013","Trinidad"
"Pollo","Granja","0   Bs.-/Kilo","13   Bs.-/Kilo","Santa Cruz","","31/01/2013","Trinidad"
"Repollo","Hibrido","0   Bs.-/Unidad","8   Bs.-/Unidad","Santa Cruz","","31/01/2013","Trinidad"
"Tomate","Manzana","0   Bs.-/Caja de 18 Kg","6   Bs.-/Kilo","Santa Cruz","","31/01/2013","Trinidad"
"Tomate","Pera","0   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","Santa Cruz","","31/01/2013","Trinidad"
"Trigo","Comun","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","Santa Cruz","","31/01/2013","Trinidad"
"Vainita","Comun","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","31/01/2013","Trinidad"
"Yuca","Blanca","0   Bs.-/Bolsa (4@)","30   Bs.-/Arroba (@)","Santa Cruz","","31/01/2013","Trinidad"
"Yuca","Rosada","0   Bs.-/Bolsa (4@)","30   Bs.-/Arroba (@)","Santa Cruz","","31/01/2013","Trinidad"
"Zanahoria","Chantenay","0   Bs.-/Bolsa (10@)","50   Bs.-/Arroba (@)","Santa Cruz","","31/01/2013","Trinidad"
"Zapallo","Quintalero","0   Bs.-/Kilo","5   Bs.-/Kilo","Santa Cruz","","31/01/2013","Trinidad"
"Acelga","Comun","0   Bs.-/Amarro","20   Bs.-/Amarro","Santa Cruz","amarro grande","30/01/2013","Trinidad"
"Achojcha","Comun","0   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","Santa Cruz","","30/01/2013","Trinidad"
"Arveja","Verde (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","30/01/2013","Trinidad"
"Azucar","Guabira","0   Bs.-/qq","7   Bs.-/Kilo","Santa Cruz","","30/01/2013","Trinidad"
"Brocoli","Bola verde","0   Bs.-/Canasta","6   Bs.-/Unidad","Santa Cruz","","30/01/2013","Trinidad"
"Cebolla","Blanca","0   Bs.-/Bolsa (8@)","70   Bs.-/Arroba (@)","Santa Cruz","","30/01/2013","Trinidad"
"Cebolla","Roja","0   Bs.-/Bolsa (8@)","45   Bs.-/Arroba (@)","Santa Cruz","","30/01/2013","Trinidad"
"Coliflor","Bola de nieve","0   Bs.-/Canasta","6   Bs.-/Unidad","Santa Cruz","","30/01/2013","Trinidad"
"Durazno","Criollo","0   Bs.-/Caja de 23 Kg","25   Bs.-/Kilo","Santa Cruz","","30/01/2013","Trinidad"
"Frejol","Carioca","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","30/01/2013","Trinidad"
"Frejol","Mantecoso","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","30/01/2013","Trinidad"
"Frejol","Negro","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","30/01/2013","Trinidad"
"Frutilla","Sweet Charlie","0   Bs.-/Kilo","40   Bs.-/Kilo","Santa Cruz","","30/01/2013","Trinidad"
"Haba","Comun (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","30/01/2013","Trinidad"
"Harina","de Trigo","0   Bs.-/qq","55   Bs.-/Arroba (@)","Santa Cruz","princesa","30/01/2013","Trinidad"
"Huevo","Criollo","0   Bs.-/100 U.","150   Bs.-/100 U.","Beni","","30/01/2013","Trinidad"
"Huevo","de Granja","0   Bs.-/100 U.","50   Bs.-/100 U.","Santa Cruz","segunda madianos","30/01/2013","Trinidad"
"Lechuga","Crespa","0   Bs.-/Canasta","3   Bs.-/Unidad","Santa Cruz","","30/01/2013","Trinidad"
"Lechuga","Escarola","0   Bs.-/Canasta","5   Bs.-/Unidad","Santa Cruz","","30/01/2013","Trinidad"
"Lima","Criolla","0   Bs.-/100 U.","12   Bs.-/25 U.","Santa Cruz","","30/01/2013","Trinidad"
"Limon","Amarillo","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","30/01/2013","Trinidad"
"Locoto","Cochabambino","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","30/01/2013","Trinidad"
"Maiz","Choclo","0   Bs.-/100 U.","24   Bs.-/Docena","Beni","","30/01/2013","Trinidad"
"Maiz","Duro","0   Bs.-/qq","3   Bs.-/Kilo","Santa Cruz","","30/01/2013","Trinidad"
"Maiz","Morocho (Culli)","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","30/01/2013","Trinidad"
"Mandarina","Japonesa","0   Bs.-/100 U.","25   Bs.-/25 U.","Santa Cruz","","30/01/2013","Trinidad"
"Mani","Pelado","0   Bs.-/Arroba (@)","23   Bs.-/Kilo","Santa Cruz","","30/01/2013","Trinidad"
"Manzana","Lanin royal","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","Santa Cruz","","30/01/2013","Trinidad"
"Naranja","Criolla","0   Bs.-/100 U.","15   Bs.-/25 U.","Santa Cruz","","30/01/2013","Trinidad"
"Papa","Desiree (Holandesa)","0   Bs.-/Bolsa (10@)","50   Bs.-/Arroba (@)","Santa Cruz","","30/01/2013","Trinidad"
"Papa","Waycha (Arinosa)","0   Bs.-/Bolsa (10@)","48   Bs.-/Arroba (@)","Santa Cruz","","30/01/2013","Trinidad"
"Papaliza","Amarilla","0   Bs.-/Arroba (@)","5   Bs.-/3 Libras","Santa Cruz","","30/01/2013","Trinidad"
"Pepino","Comun","0   Bs.-/Arroba (@)","3   Bs.-/3 Libras","Santa Cruz","","30/01/2013","Trinidad"
"Pimenton","4 Puntas","0   Bs.-/Bolsa Grande","18   Bs.-/Docena","Santa Cruz","","30/01/2013","Trinidad"
"Pollo","Granja","0   Bs.-/Kilo","13   Bs.-/Kilo","Santa Cruz","sofia","30/01/2013","Trinidad"
"Repollo","Hibrido","0   Bs.-/Unidad","8   Bs.-/Unidad","Santa Cruz","","30/01/2013","Trinidad"
"Tomate","Manzana","0   Bs.-/Caja de 18 Kg","6   Bs.-/Kilo","Santa Cruz","grande","30/01/2013","Trinidad"
"Tomate","Pera","0   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","Santa Cruz","chico","30/01/2013","Trinidad"
"Trigo","Comun","0   Bs.-/Arroba (@)","10   Bs.-/Kilo","Santa Cruz","","30/01/2013","Trinidad"
"Vainita","Comun","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","30/01/2013","Trinidad"
"Yuca","Blanca","0   Bs.-/Bolsa (4@)","35   Bs.-/Arroba (@)","Beni","","30/01/2013","Trinidad"
"Yuca","Rosada","0   Bs.-/Bolsa (4@)","35   Bs.-/Arroba (@)","Beni","","30/01/2013","Trinidad"
"Zanahoria","Chantenay","0   Bs.-/Bolsa (10@)","48   Bs.-/Arroba (@)","Santa Cruz","","30/01/2013","Trinidad"
"Zapallo","Quintalero","0   Bs.-/Kilo","5   Bs.-/Kilo","Santa Cruz","","30/01/2013","Trinidad"
"Acelga","Comun","0   Bs.-/Amarro","20   Bs.-/Amarro","Santa Cruz","amarro grande","29/01/2013","Trinidad"
"Achojcha","Comun","0   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","Santa Cruz","","29/01/2013","Trinidad"
"Arveja","Verde (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","29/01/2013","Trinidad"
"Azucar","Guabira","0   Bs.-/qq","7   Bs.-/Kilo","Santa Cruz","","29/01/2013","Trinidad"
"Brocoli","Bola verde","0   Bs.-/Canasta","6   Bs.-/Unidad","Santa Cruz","","29/01/2013","Trinidad"
"Cebolla","Blanca","0   Bs.-/Bolsa (8@)","70   Bs.-/Arroba (@)","Santa Cruz","","29/01/2013","Trinidad"
"Cebolla","Roja","0   Bs.-/Bolsa (8@)","40   Bs.-/Arroba (@)","Santa Cruz","","29/01/2013","Trinidad"
"Coliflor","Bola de nieve","0   Bs.-/Canasta","6   Bs.-/Unidad","Santa Cruz","","29/01/2013","Trinidad"
"Durazno","Criollo","0   Bs.-/Caja de 23 Kg","25   Bs.-/Kilo","Santa Cruz","","29/01/2013","Trinidad"
"Frejol","Carioca","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","29/01/2013","Trinidad"
"Frejol","Mantecoso","0   Bs.-/qq","14   Bs.-/Kilo","Santa Cruz","","29/01/2013","Trinidad"
"Frejol","Negro","0   Bs.-/qq","14   Bs.-/Kilo","Santa Cruz","","29/01/2013","Trinidad"
"Frutilla","Sweet Charlie","0   Bs.-/Kilo","40   Bs.-/Kilo","Santa Cruz","","29/01/2013","Trinidad"
"Haba","Comun (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","29/01/2013","Trinidad"
"Harina","de Trigo","0   Bs.-/qq","55   Bs.-/Arroba (@)","Santa Cruz","princesa","29/01/2013","Trinidad"
"Huevo","de Granja","0   Bs.-/100 U.","50   Bs.-/100 U.","Santa Cruz","segunda maedianos","29/01/2013","Trinidad"
"Lechuga","Crespa","0   Bs.-/Canasta","3   Bs.-/Unidad","Santa Cruz","","29/01/2013","Trinidad"
"Lechuga","Escarola","0   Bs.-/Canasta","5   Bs.-/Unidad","Santa Cruz","","29/01/2013","Trinidad"
"Lima","Criolla","0   Bs.-/100 U.","12   Bs.-/25 U.","Santa Cruz","","29/01/2013","Trinidad"
"Limon","Amarillo","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","29/01/2013","Trinidad"
"Locoto","Cochabambino","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","29/01/2013","Trinidad"
"Maiz","Choclo","0   Bs.-/100 U.","24   Bs.-/Docena","Beni","","29/01/2013","Trinidad"
"Maiz","Duro","0   Bs.-/qq","3   Bs.-/Kilo","Santa Cruz","","29/01/2013","Trinidad"
"Maiz","Morocho (Culli)","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","29/01/2013","Trinidad"
"Mandarina","Japonesa","0   Bs.-/100 U.","25   Bs.-/25 U.","Santa Cruz","","29/01/2013","Trinidad"
"Mani","Pelado","0   Bs.-/Arroba (@)","23   Bs.-/Kilo","Santa Cruz","","29/01/2013","Trinidad"
"Manzana","Lanin royal","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","Santa Cruz","","29/01/2013","Trinidad"
"Naranja","Criolla","0   Bs.-/100 U.","15   Bs.-/25 U.","Santa Cruz","","29/01/2013","Trinidad"
"Papa","Desiree (Holandesa)","0   Bs.-/Bolsa (10@)","48   Bs.-/Arroba (@)","Santa Cruz","","29/01/2013","Trinidad"
"Papa","Waycha (Arinosa)","0   Bs.-/Bolsa (10@)","48   Bs.-/Arroba (@)","Santa Cruz","","29/01/2013","Trinidad"
"Papaliza","Amarilla","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","Santa Cruz","","29/01/2013","Trinidad"
"Pepino","Comun","0   Bs.-/Arroba (@)","3   Bs.-/3 Libras","Santa Cruz","","29/01/2013","Trinidad"
"Pimenton","4 Puntas","0   Bs.-/Bolsa Grande","18   Bs.-/Docena","Santa Cruz","","29/01/2013","Trinidad"
"Pollo","Criollo","0   Bs.-/Kilo","45   Bs.-/Kilo","Beni","pollo completo","29/01/2013","Trinidad"
"Pollo","Granja","0   Bs.-/Kilo","13   Bs.-/Kilo","Santa Cruz","sofia","29/01/2013","Trinidad"
"Repollo","Hibrido","0   Bs.-/Unidad","8   Bs.-/Unidad","Santa Cruz","","29/01/2013","Trinidad"
"Tomate","Manzana","0   Bs.-/Caja de 18 Kg","6   Bs.-/Kilo","Santa Cruz","grande","29/01/2013","Trinidad"
"Tomate","Pera","0   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","Santa Cruz","chico","29/01/2013","Trinidad"
"Trigo","Comun","0   Bs.-/Arroba (@)","10   Bs.-/Kilo","Santa Cruz","","29/01/2013","Trinidad"
"Vainita","Comun","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","29/01/2013","Trinidad"
"Yuca","Blanca","0   Bs.-/Bolsa (4@)","30   Bs.-/Arroba (@)","Beni","","29/01/2013","Trinidad"
"Yuca","Rosada","0   Bs.-/Bolsa (4@)","30   Bs.-/Arroba (@)","Beni","","29/01/2013","Trinidad"
"Zanahoria","Chantenay","0   Bs.-/Bolsa (10@)","50   Bs.-/Arroba (@)","Santa Cruz","","29/01/2013","Trinidad"
"Zapallo","Quintalero","0   Bs.-/Kilo","5   Bs.-/Kilo","Santa Cruz","","29/01/2013","Trinidad"
"Acelga","Comun","0   Bs.-/Amarro","20   Bs.-/Amarro","Santa Cruz","amarro grande","28/01/2013","Trinidad"
"Achojcha","Comun","0   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","Santa Cruz","","28/01/2013","Trinidad"
"Arveja","Verde (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","28/01/2013","Trinidad"
"Azucar","Guabira","0   Bs.-/qq","7   Bs.-/Kilo","Santa Cruz","","28/01/2013","Trinidad"
"Brocoli","Bola verde","0   Bs.-/Canasta","6   Bs.-/Unidad","Santa Cruz","","28/01/2013","Trinidad"
"Cebolla","Blanca","0   Bs.-/Bolsa (8@)","70   Bs.-/Arroba (@)","Santa Cruz","","28/01/2013","Trinidad"
"Cebolla","Roja","0   Bs.-/Bolsa (8@)","40   Bs.-/Arroba (@)","Santa Cruz","","28/01/2013","Trinidad"
"Coliflor","Bola de nieve","0   Bs.-/Canasta","6   Bs.-/Unidad","Santa Cruz","","28/01/2013","Trinidad"
"Durazno","Criollo","0   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","Santa Cruz","","28/01/2013","Trinidad"
"Frejol","Carioca","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","28/01/2013","Trinidad"
"Frejol","Mantecoso","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","28/01/2013","Trinidad"
"Frejol","Negro","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","28/01/2013","Trinidad"
"Frutilla","Sweet Charlie","0   Bs.-/Kilo","40   Bs.-/Kilo","Santa Cruz","","28/01/2013","Trinidad"
"Haba","Comun (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","28/01/2013","Trinidad"
"Harina","de Trigo","0   Bs.-/qq","55   Bs.-/Arroba (@)","Santa Cruz","princesa","28/01/2013","Trinidad"
"Huevo","Criollo","0   Bs.-/100 U.","150   Bs.-/100 U.","Beni","","28/01/2013","Trinidad"
"Huevo","de Granja","0   Bs.-/100 U.","50   Bs.-/100 U.","Santa Cruz","segunda medianos","28/01/2013","Trinidad"
"Lechuga","Crespa","0   Bs.-/Canasta","3   Bs.-/Unidad","Santa Cruz","","28/01/2013","Trinidad"
"Lechuga","Escarola","0   Bs.-/Canasta","5   Bs.-/Unidad","Santa Cruz","","28/01/2013","Trinidad"
"Lima","Criolla","0   Bs.-/100 U.","12   Bs.-/25 U.","Santa Cruz","","28/01/2013","Trinidad"
"Limon","Amarillo","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","28/01/2013","Trinidad"
"Locoto","Cochabambino","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","28/01/2013","Trinidad"
"Maiz","Choclo","0   Bs.-/100 U.","24   Bs.-/Docena","Beni","","28/01/2013","Trinidad"
"Maiz","Duro","0   Bs.-/qq","3   Bs.-/Kilo","Santa Cruz","","28/01/2013","Trinidad"
"Maiz","Morocho (Culli)","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","28/01/2013","Trinidad"
"Mandarina","Japonesa","0   Bs.-/100 U.","25   Bs.-/25 U.","Santa Cruz","","28/01/2013","Trinidad"
"Mani","Pelado","0   Bs.-/Arroba (@)","23   Bs.-/Kilo","Santa Cruz","","28/01/2013","Trinidad"
"Manzana","Lanin royal","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","Santa Cruz","","28/01/2013","Trinidad"
"Naranja","Criolla","0   Bs.-/100 U.","15   Bs.-/25 U.","Santa Cruz","","28/01/2013","Trinidad"
"Papa","Desiree (Holandesa)","0   Bs.-/Bolsa (10@)","48   Bs.-/Arroba (@)","Santa Cruz","","28/01/2013","Trinidad"
"Papa","Waycha (Arinosa)","0   Bs.-/Bolsa (10@)","48   Bs.-/Arroba (@)","Santa Cruz","","28/01/2013","Trinidad"
"Papaliza","Amarilla","0   Bs.-/Arroba (@)","5   Bs.-/3 Libras","Santa Cruz","","28/01/2013","Trinidad"
"Pepino","Comun","0   Bs.-/Arroba (@)","3   Bs.-/3 Libras","Santa Cruz","","28/01/2013","Trinidad"
"Pimenton","4 Puntas","0   Bs.-/Bolsa Grande","15   Bs.-/Docena","Santa Cruz","","28/01/2013","Trinidad"
"Pollo","Granja","0   Bs.-/Kilo","14   Bs.-/Kilo","Santa Cruz","sofia","28/01/2013","Trinidad"
"Repollo","Hibrido","0   Bs.-/Unidad","8   Bs.-/Unidad","Santa Cruz","","28/01/2013","Trinidad"
"Tomate","Manzana","0   Bs.-/Caja de 18 Kg","6   Bs.-/Kilo","Santa Cruz","grande","28/01/2013","Trinidad"
"Tomate","Pera","0   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","Santa Cruz","chico","28/01/2013","Trinidad"
"Trigo","Comun","0   Bs.-/Arroba (@)","10   Bs.-/Kilo","Santa Cruz","","28/01/2013","Trinidad"
"Vainita","Comun","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","28/01/2013","Trinidad"
"Yuca","Blanca","0   Bs.-/Bolsa (4@)","30   Bs.-/Arroba (@)","Beni","","28/01/2013","Trinidad"
"Yuca","Rosada","0   Bs.-/Bolsa (4@)","30   Bs.-/Arroba (@)","Beni","","28/01/2013","Trinidad"
"Zanahoria","Chantenay","0   Bs.-/Bolsa (10@)","50   Bs.-/Arroba (@)","Santa Cruz","","28/01/2013","Trinidad"
"Zapallo","Quintalero","0   Bs.-/Kilo","5   Bs.-/Kilo","Santa Cruz","","28/01/2013","Trinidad"
"Acelga","Comun","0   Bs.-/Amarro","20   Bs.-/Amarro","Santa Cruz","amarro grande","25/01/2013","Trinidad"
"Achojcha","Comun","0   Bs.-/Bolsa (2@)","5   Bs.-/3 Libras","Santa Cruz","","25/01/2013","Trinidad"
"Arveja","Verde (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","25/01/2013","Trinidad"
"Azucar","Guabira","0   Bs.-/qq","7   Bs.-/Kilo","Santa Cruz","","25/01/2013","Trinidad"
"Brocoli","Bola verde","0   Bs.-/Canasta","6   Bs.-/Unidad","Santa Cruz","","25/01/2013","Trinidad"
"Cebolla","Blanca","0   Bs.-/Bolsa (8@)","70   Bs.-/Arroba (@)","Santa Cruz","","25/01/2013","Trinidad"
"Cebolla","Roja","0   Bs.-/Bolsa (8@)","40   Bs.-/Arroba (@)","Santa Cruz","","25/01/2013","Trinidad"
"Coliflor","Bola de nieve","0   Bs.-/Canasta","6   Bs.-/Unidad","Santa Cruz","","25/01/2013","Trinidad"
"Durazno","Criollo","0   Bs.-/Caja de 23 Kg","25   Bs.-/Kilo","Santa Cruz","","25/01/2013","Trinidad"
